Date : 2020-05-07 16:01:01
Directory : c:\Users\Steak\Documents\GitHub\Upsilon\Libraries
Total : 5106 files,  1016028 codes, 259358 comments, 186782 blanks, all 1462168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\internal\swap.h                                                                             | C++           |         21 |         17 |          9 |         47 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\istreamwrapper.h                                                                            | C++           |         67 |         30 |         19 |        116 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\memorybuffer.h                                                                              | C++           |         29 |         27 |         15 |         71 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\memorystream.h                                                                              | C++           |         32 |         26 |         14 |         72 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\msinttypes\inttypes.h                                                                       | C++           |        221 |         49 |         47 |        317 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\msinttypes\stdint.h                                                                         | C++           |        184 |         66 |         51 |        301 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\ostreamwrapper.h                                                                            | C++           |         37 |         29 |         16 |         82 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\pointer.h                                                                                   | C++           |        801 |        365 |        193 |      1,359 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\prettywriter.h                                                                              | C++           |        161 |         55 |         40 |        256 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\rapidjson.h                                                                                 | C++           |        269 |        276 |         71 |        616 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\reader.h                                                                                    | C++           |      1,388 |        263 |        229 |      1,880 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\schema.h                                                                                    | C++           |      1,597 |        125 |        285 |      2,007 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\stream.h                                                                                    | C++           |         67 |         82 |         31 |        180 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\stringbuffer.h                                                                              | C++           |         69 |         24 |         25 |        118 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\3rd_party\rapidjson-1.1.0\rapidjson\writer.h                                                                                    | C++           |        422 |        117 |         72 |        611 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\ChangeLog.md                                                                                                                    | Markdown      |         79 |          0 |         14 |         93 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\README.md                                                                                                                       | Markdown      |        125 |          1 |         34 |        160 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\3rd-party\bootstrap-3.3.2\css\bootstrap.min.css                                                       | CSS           |          1 |          4 |          0 |          5 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\3rd-party\bootstrap-3.3.2\js\bootstrap.min.js                                                         | JavaScript    |          2 |          5 |          0 |          7 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\3rd-party\jquery-2.1.3\jquery.min.js                                                                  | JavaScript    |          3 |          1 |          1 |          5 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\css\custom-bootstrap.css                                                                              | CSS           |         33 |          1 |          8 |         42 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\css\custom-doxygen.css                                                                                | CSS           |      1,188 |         57 |        242 |      1,487 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\ptsans_regular_macroman\PTS55F-demo.html                                                        | HTML          |        247 |          0 |        118 |        365 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\ptsans_regular_macroman\PTS55F-webfont.svg                                                      | XML           |        693 |          0 |          0 |        693 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\ptsans_regular_macroman\specimen_files\easytabs.js                                              | JavaScript    |          7 |          0 |          0 |          7 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\ptsans_regular_macroman\specimen_files\grid_12-825-55-15.css                                    | CSS           |         95 |         10 |         24 |        129 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\ptsans_regular_macroman\specimen_files\specimen_stylesheet.css                                  | CSS           |        320 |         11 |         66 |        397 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\ptsans_regular_macroman\stylesheet.css                                                          | CSS           |         10 |          0 |          3 |         13 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\source_code_pro_regular\SourceCodePro-Regular-webfont.svg                                       | XML           |        146 |          0 |          0 |        146 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\source_code_pro_regular\demo.html                                                               | HTML          |         34 |          0 |         25 |         59 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\fonts\source_code_pro_regular\stylesheet.css                                                          | CSS           |         10 |          1 |          3 |         14 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\html\footer.html                                                                                      | HTML          |         17 |          6 |          1 |         24 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\html\header.html                                                                                      | HTML          |         31 |         13 |          4 |         48 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen-customization\js\doxy-boot.js                                                                                       | JavaScript    |        128 |         24 |         30 |        182 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen_website_customization\css\custom-bootstrap.css                                                                      | CSS           |         29 |          1 |          9 |         39 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen_website_customization\css\custom-doxygen.css                                                                        | CSS           |        102 |          5 |         17 |        124 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen_website_customization\html\footer.html                                                                              | HTML          |          0 |          0 |          2 |          2 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen_website_customization\html\header.html                                                                              | HTML          |          2 |          1 |          2 |          5 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\doxygen_website_customization\js\doxy-boot.js                                                                               | JavaScript    |        115 |         36 |         28 |        179 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\building_install.md                                                                                                | Markdown      |         59 |          0 |         29 |         88 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\license.md                                                                                                         | Markdown      |         33 |          0 |         11 |         44 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\main_page.md                                                                                                       | Markdown      |         51 |          0 |         13 |         64 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial.md                                                                                                        | Markdown      |         25 |          0 |          4 |         29 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\default_arguments.md                                                                                      | Markdown      |         56 |          0 |         17 |         73 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\five_minute_tutorial.md                                                                                   | Markdown      |        235 |          0 |         52 |        287 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\meta_data.md                                                                                              | Markdown      |         48 |          0 |         17 |         65 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\parameter_names.md                                                                                        | Markdown      |         51 |          0 |         14 |         65 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\policies.md                                                                                               | Markdown      |        220 |          0 |         58 |        278 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\query_info_type.md                                                                                        | Markdown      |         43 |          0 |         16 |         59 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_class_hierachy.md                                                                                | Markdown      |         43 |          0 |         10 |         53 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_classes.md                                                                                       | Markdown      |        281 |          0 |         78 |        359 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_enums.md                                                                                         | Markdown      |         61 |          0 |         15 |         76 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_hello_world.md                                                                                   | Markdown      |         31 |          0 |         10 |         41 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_methods.md                                                                                       | Markdown      |         84 |          0 |         20 |        104 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_plugins.md                                                                                       | Markdown      |         92 |          0 |         18 |        110 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\register_properties.md                                                                                    | Markdown      |         74 |          0 |         16 |         90 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\using_rttr_cast.md                                                                                        | Markdown      |         35 |          0 |         12 |         47 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\using_rttr_type.md                                                                                        | Markdown      |         91 |          0 |         33 |        124 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\doc\md_pages\tutorial\variant.md                                                                                                | Markdown      |         22 |          0 |          8 |         30 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\bench_find_method.cpp                                                                               | C++           |        722 |         85 |        104 |        911 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\bench_invoke_method.cpp                                                                             | C++           |        393 |         71 |         78 |        542 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\bench_method.cpp                                                                                    | C++           |          9 |         28 |          8 |         45 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\main.cpp                                                                                            | C++           |          7 |         28 |          4 |         39 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\pch.h                                                                                               | C++           |         27 |          2 |          3 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\test_methods.cpp                                                                                    | C++           |        104 |         42 |         44 |        190 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_method\test_methods.h                                                                                      | C++           |        109 |         26 |         46 |        181 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_rttr_cast\benchmark_rttr_cast.cpp                                                                          | C++           |        831 |         79 |        133 |      1,043 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_rttr_cast\main.cpp                                                                                         | C++           |          5 |         26 |          3 |         34 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_rttr_cast\pch.h                                                                                            | C++           |         27 |          2 |          3 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_rttr_cast\test_classes.h                                                                                   | C++           |        103 |         38 |         29 |        170 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_variant\bench_variant_conversion.cpp                                                                       | C++           |        286 |         78 |         94 |        458 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_variant\bench_variant_create.cpp                                                                           | C++           |        259 |         50 |         57 |        366 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_variant\main.cpp                                                                                           | C++           |          7 |         28 |          5 |         40 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\benchmarks\bench_variant\pch.h                                                                                              | C++           |         27 |          2 |          3 |         32 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\ReadMe.md                                                                                                          | Markdown      |          9 |          0 |          3 |         12 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\ReadMe.md                                                                                       | Markdown      |        160 |          0 |         27 |        187 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\from_json.cpp                                                                                   | C++           |        184 |         36 |         34 |        254 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\from_json.h                                                                                     | C++           |          6 |         29 |          5 |         40 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\main.cpp                                                                                        | C++           |         98 |         27 |         34 |        159 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\pch.h                                                                                           | C++           |         22 |         27 |          4 |         53 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\to_json.cpp                                                                                     | C++           |        194 |         37 |         48 |        279 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\json_serialization\to_json.h                                                                                       | C++           |          6 |         29 |          6 |         41 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\library_loading\library_loader_example\ReadMe.md                                                                   | Markdown      |          3 |          0 |          4 |          7 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\library_loading\library_loader_example\main.cpp                                                                    | C++           |         48 |         31 |         15 |         94 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\library_loading\library_loader_example\pch.h                                                                       | C++           |         18 |         27 |          4 |         49 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\library_loading\plugin_example\ReadMe.md                                                                           | Markdown      |          3 |          0 |          4 |          7 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\library_loading\plugin_example\main.cpp                                                                            | C++           |         29 |         26 |          9 |         64 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\library_loading\plugin_example\pch.h                                                                               | C++           |         18 |         27 |          4 |         49 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\scripting\ReadMe.md                                                                                                | Markdown      |          4 |          0 |          3 |          7 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\scripting\chaiscript_visitor.h                                                                                     | C++           |         73 |         34 |         29 |        136 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\scripting\main.cpp                                                                                                 | C++           |         36 |         28 |          8 |         72 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\scripting\pch.h                                                                                                    | C++           |         20 |         27 |          3 |         50 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\scripting\player.cpp                                                                                               | C++           |         53 |         27 |         19 |         99 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\examples\scripting\player.h                                                                                                 | C++           |         21 |         26 |         14 |         61 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\access_levels.h                                                                                                        | C++           |         13 |         44 |          9 |         66 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\argument.h                                                                                                             | C++           |         70 |         31 |         26 |        127 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\array_range.h                                                                                                          | C++           |        117 |        172 |         52 |        341 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\associative_mapper.h                                                                                                   | C++           |         89 |        245 |         32 |        366 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\constructor.cpp                                                                                                        | C++           |        104 |         47 |         53 |        204 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\constructor.h                                                                                                          | C++           |         56 |        217 |         30 |        303 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\destructor.cpp                                                                                                         | C++           |         52 |         35 |         27 |        114 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\destructor.h                                                                                                           | C++           |         35 |         91 |         18 |        144 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\base\core_prerequisites.h                                                                                       | C++           |        226 |         65 |         52 |        343 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\base\pch.h                                                                                                      | C++           |         18 |         27 |          4 |         49 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\comparable_types.h                                                                                   | C++           |         20 |         28 |         10 |         58 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_array_equal.h                                                                                | C++           |         17 |         31 |         11 |         59 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_array_equal_impl.h                                                                           | C++           |         40 |         31 |         16 |         87 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_array_less.h                                                                                 | C++           |         17 |         31 |         11 |         59 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_array_less_impl.h                                                                            | C++           |         45 |         30 |         16 |         91 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_equal.cpp                                                                                    | C++           |         20 |         28 |         10 |         58 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_equal.h                                                                                      | C++           |         33 |         38 |         23 |         94 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_equal_impl.h                                                                                 | C++           |         34 |         34 |         14 |         82 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_less.cpp                                                                                     | C++           |         23 |         28 |          9 |         60 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_less.h                                                                                       | C++           |         33 |         33 |         21 |         87 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\comparison\compare_less_impl.h                                                                                  | C++           |         32 |         30 |         13 |         75 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\constructor\constructor_invoker.h                                                                               | C++           |         55 |         32 |         20 |        107 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\constructor\constructor_wrapper.h                                                                               | C++           |        347 |         39 |         62 |        448 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\constructor\constructor_wrapper_base.cpp                                                                        | C++           |        117 |         49 |         55 |        221 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\constructor\constructor_wrapper_base.h                                                                          | C++           |         54 |         32 |         13 |         99 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\constructor\constructor_wrapper_defaults.h                                                                      | C++           |        330 |         33 |         49 |        412 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\conversion\number_conversion.h                                                                                  | C++           |        106 |         45 |         31 |        182 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\conversion\std_conversion_functions.cpp                                                                         | C++           |        246 |         45 |         48 |        339 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\conversion\std_conversion_functions.h                                                                           | C++           |         26 |         45 |         37 |        108 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\default_arguments\default_arguments.h                                                                           | C++           |        126 |         91 |         48 |        265 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\default_arguments\invoke_with_defaults.h                                                                        | C++           |        109 |         48 |         26 |        183 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\destructor\destructor_wrapper.h                                                                                 | C++           |         33 |         29 |         10 |         72 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\destructor\destructor_wrapper_base.cpp                                                                          | C++           |         29 |         33 |         17 |         79 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\destructor\destructor_wrapper_base.h                                                                            | C++           |         24 |         32 |          9 |         65 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\enumeration\enum_data.h                                                                                         | C++           |         26 |         32 |         13 |         71 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\enumeration\enumeration_helper.cpp                                                                              | C++           |         59 |         31 |         14 |        104 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\enumeration\enumeration_helper.h                                                                                | C++           |         17 |         53 |         17 |         87 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\enumeration\enumeration_wrapper.h                                                                               | C++           |         80 |         27 |         20 |        127 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\enumeration\enumeration_wrapper_base.cpp                                                                        | C++           |         55 |         39 |         29 |        123 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\enumeration\enumeration_wrapper_base.h                                                                          | C++           |         35 |         32 |         19 |         86 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\filter\filter_item_funcs.h                                                                                      | C++           |         95 |         31 |         22 |        148 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\argument_impl.h                                                                                            | C++           |         77 |         42 |         37 |        156 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\array_range_impl.h                                                                                         | C++           |        349 |         72 |        107 |        528 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\associative_mapper_impl.h                                                                                  | C++           |        370 |         55 |        110 |        535 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\enum_flags_impl.h                                                                                          | C++           |        130 |         52 |         53 |        235 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\instance_impl.h                                                                                            | C++           |         55 |         37 |         30 |        122 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\rttr_cast_impl.h                                                                                           | C++           |         26 |         26 |         12 |         64 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\sequential_mapper_impl.h                                                                                   | C++           |        671 |         69 |        179 |        919 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\string_view_impl.h                                                                                         | C++           |        461 |        106 |        145 |        712 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\impl\wrapper_mapper_impl.h                                                                                      | C++           |        118 |         43 |         45 |        206 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\library\library_p.h                                                                                             | C++           |         93 |         32 |         33 |        158 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\library\library_unix.cpp                                                                                        | C++           |        114 |         30 |         37 |        181 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\library\library_win.cpp                                                                                         | C++           |        185 |         40 |         51 |        276 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\metadata\metadata.h                                                                                             | C++           |         40 |         30 |         10 |         80 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\metadata\metadata_handler.h                                                                                     | C++           |         38 |         35 |         14 |         87 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\method\method_accessor.h                                                                                        | C++           |        126 |         41 |         40 |        207 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\method\method_invoker.h                                                                                         | C++           |        133 |         35 |         24 |        192 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\method\method_wrapper.h                                                                                         | C++           |        307 |         33 |         39 |        379 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\method\method_wrapper_base.cpp                                                                                  | C++           |        130 |         52 |         60 |        242 |
| c:\Users\Steak\Documents\GitHub\Upsilon\Libraries\rttr\rttr\src\rttr\detail\method\method_wrapper_base.h                                                                                    | C++           |         62 |         32 |         15 |        109 |
